Timestamp, 0Pitch,0Yaw,0Roll,0DirectionX,0DirectionY,0DirectionZ,0ArmDirectionX,0ArmDirectionY, 0ArmDirectionZ,0PalmNormalX,0PalmNormalY,0PalmNormalZ,0HandVelocityX,0HandVelocityY,0HandVelocityZ,0PalmPositionX,0PalmPositionY,0PalmPositionZ,0WristPositionX,0WristPositionY,0WristPositionZ,0ThumbMetaPrevX,0ThumbMetaPrevY, 0ThumbMetaPrevZ,0ThumbMetaNextX,0ThumbMetaNextY, 0ThumbMetaNextZ,0ThumbProxNextX,0ThumbProxNextY, 0ThumbProxNextZ,0ThumbInterNextX,0ThumbInterNextY, 0ThumbInterNextZ,0ThumbDistNextX,0ThumbDistNextY, 0ThumbDistNextZ,0IndexMetaPrevX,0IndexMetaPrevY, 0IndexMetaPrevZ,0IndexMetaNextX,0IndexMetaNextY, 0IndexMetaNextZ,0IndexProxNextX,0IndexProxNextY, 0IndexProxNextZ,0IndexInterNextX,0IndexInterNextY, 0IndexInterNextZ,0IndexDistNextX,0IndexDistNextY, 0IndexDistNextZ,0MiddleMetaPrevX,0MiddleMetaPrevY, 0MiddleMetaPrevZ,0MiddleMetaNextX,0MiddleMetaNextY, 0MiddleMetaNextZ,0MiddleProxNextX,0MiddleProxNextY, 0MiddleProxNextZ,0MiddleInterNextX,0MiddleInterNextY, 0MiddleInterNextZ,0MiddleDistNextX,0MiddleDistNextY, 0MiddleDistNextZ,0RingMetaPrevX,0MiddleMetaPrevY, 0MiddleMetaPrevZ,0RingMetaNextX,0RingMetaNextY, 0RingMetaNextZ,0RingProxNextX,0RingProxNextY, 0RingProxNextZ,0RingInterNextX,0RingInterNextY, 0RingInterNextZ,0RingDistNextX,0RingDistNextY, 0RingDistNextZ,0PinkyMetaPrevX,0PinkyMetaPrevY, 0PinkyMetaPrevZ,0PinkyMetaNextX,0PinkyMetaNextY, 0PinkyMetaNextZ,0PinkyProxNextX,0PinkyProxNextY, 0PinkyProxNextZ,0PinkyInterNextX,0PinkyInterNextY, 0PinkyInterNextZ,0PinkyDistNextX,0PinkyDistNextY, 0PinkyDistNextZ,ActivityClass
07.18.42.681464,1.922077,1.973418,1.28624,0.468013,0.883541,0.0178567,0.634424,0.772986,-8.52E-05,0.535455,-0.156617,-0.829915,3.06853,-2.40665,0.379099,-93.171,262.283,189.979,-135.318,206.767,180.711,-132.287,235.979,162.101,-132.287,235.979,162.101,-130.541,281.97,160.147,-115.842,309.72,160.708,-100.543,315.949,162.363,-134.214,240.166,183.411,-93.6239,294.372,187.246,-61.8311,317.957,186.144,-42.9419,328.108,180.206,-32.719,332.345,175.295,-126.53,235.366,190.494,-82.5329,281.571,198.664,-47.3628,308.445,195.165,-26.2427,321.921,187.588,-15.6632,327.851,182.106,-118.282,228.595,194.086,-74.121,263.991,205.577,-40.448,286.587,198.529,-19.9897,298.456,189.016,-9.68748,303.905,182.74,-109.858,218.628,192.672,-66.7542,246.004,208.498,-40.3285,264.012,202.164,-26.6234,272.73,194.405,-18.1297,277.811,187.224,pick
07.18.42.696423,1.922028,1.973005,1.285201,0.467566,0.883775,0.0180141,0.633834,0.773468,0.00133912,0.535525,-0.157242,-0.829751,-3.65627,2.1117,-1.0975,-93.1876,262.28,189.96,-135.354,206.778,180.688,-132.312,235.988,162.085,-132.312,235.988,162.085,-130.557,281.978,160.136,-115.872,309.735,160.702,-100.582,315.98,162.362,-134.243,240.186,183.392,-93.6215,294.368,187.215,-61.832,317.957,186.13,-42.9415,328.109,180.201,-32.7164,332.349,175.3,-126.563,235.383,190.478,-82.5398,281.564,198.639,-47.3626,308.423,195.111,-26.2405,321.889,187.527,-15.6588,327.819,182.051,-118.32,228.609,194.074,-74.1399,263.982,205.56,-40.4564,286.556,198.502,-19.9918,298.412,188.989,-9.68437,303.858,182.721,-109.902,218.635,192.665,-66.7845,245.992,208.489,-40.348,263.973,202.132,-26.6388,272.675,194.364,-18.1373,277.751,187.19,pick
07.18.42.711383,1.921726,1.972123,1.283337,0.46707,0.884021,0.0187578,0.634049,0.77329,0.00232373,0.535556,-0.158336,-0.829524,1.51509,2.44056,-0.0407115,-93.1643,262.279,189.955,-135.374,206.807,180.7,-132.305,236.002,162.093,-132.305,236.002,162.093,-130.54,281.993,160.17,-115.871,309.757,160.759,-100.588,316.018,162.432,-134.24,240.219,183.395,-93.5686,294.366,187.188,-61.7601,317.927,186.092,-42.8615,328.067,180.172,-32.6307,332.307,175.282,-126.564,235.413,190.485,-82.5005,281.559,198.623,-47.3105,308.396,195.069,-26.1819,321.851,187.487,-15.5943,327.783,182.025,-118.329,228.633,194.087,-74.1184,263.974,205.558,-40.4226,286.529,198.502,-19.9462,298.378,189.009,-9.62748,303.829,182.764,-109.919,218.651,192.689,-66.7803,245.979,208.502,-40.3338,263.934,202.113,-26.6159,272.623,194.349,-18.1049,277.693,187.182,pick
07.18.42.727340,1.921636,1.971651,1.282128,0.466608,0.884254,0.0192629,0.633918,0.773395,0.0027638,0.535668,-0.159073,-0.82931,-1.13807,0.160083,1.65762,-93.1742,262.281,189.97,-135.411,206.827,180.723,-132.323,236.015,162.111,-132.323,236.015,162.111,-130.56,282.006,160.205,-115.906,309.776,160.81,-100.63,316.049,162.493,-134.263,240.244,183.409,-93.5579,294.367,187.188,-61.7261,317.893,186.054,-42.8205,328.008,180.118,-32.5874,332.235,175.224,-126.592,235.436,190.503,-82.5002,281.558,198.631,-47.2961,308.369,195.051,-26.1617,321.801,187.447,-15.5721,327.72,181.978,-118.362,228.652,194.11,-74.1314,263.97,205.575,-40.4271,286.502,198.5,-19.9463,298.337,189.001,-9.62438,303.781,182.758,-109.959,218.664,192.719,-66.8058,245.971,208.531,-40.3553,263.912,202.124,-26.6357,272.59,194.352,-18.1204,277.655,187.188,pick
07.18.42.742302,1.921729,1.971571,1.281048,0.465238,0.884952,0.0203439,0.633919,0.773394,0.00287101,0.536198,-0.159862,-0.828816,1.88996,3.04996,1.68738,-93.1532,262.352,189.986,-135.408,206.911,180.741,-132.292,236.088,162.116,-132.292,236.088,162.116,-130.595,282.082,160.241,-115.984,309.874,160.88,-100.718,316.165,162.584,-134.25,240.333,183.409,-93.5191,294.437,187.184,-61.6824,317.954,186.047,-42.7713,328.047,180.094,-32.5378,332.251,175.183,-126.586,235.524,190.511,-82.4759,281.628,198.643,-47.2669,308.431,195.063,-26.1274,321.844,187.446,-15.5379,327.743,181.957,-118.362,228.739,194.128,-74.1213,264.04,205.604,-40.4108,286.563,198.536,-19.9256,298.38,189.029,-9.60331,303.811,182.775,-109.962,218.745,192.75,-66.8072,246.039,208.577,-40.3492,263.97,202.178,-26.628,272.634,194.395,-18.113,277.685,187.221,pick
07.18.42.757260,1.922089,1.972193,1.281169,0.463836,0.885666,0.0212407,0.633282,0.773914,0.00343259,0.536874,-0.159992,-0.828353,-0.312504,1.84347,2.45762,-93.1618,262.402,190.02,-135.398,206.951,180.751,-132.276,236.128,162.123,-132.276,236.128,162.123,-130.609,282.125,160.276,-116.042,309.94,160.943,-100.793,316.266,162.665,-134.251,240.377,183.415,-93.5282,294.486,187.211,-61.6996,318.015,186.071,-42.7885,328.1,180.102,-32.5554,332.299,175.184,-126.592,235.572,190.524,-82.4932,281.681,198.681,-47.2832,308.483,195.091,-26.142,321.883,187.451,-15.5524,327.773,181.951,-118.37,228.788,194.149,-74.1424,264.096,205.653,-40.4314,286.616,198.574,-19.9468,298.422,189.049,-9.62591,303.844,182.784,-109.969,218.794,192.779,-66.8289,246.096,208.635,-40.3719,264.032,202.242,-26.6525,272.692,194.45,-18.1331,277.744,187.282,pick
07.18.42.772220,1.922765,1.97365,1.283265,0.463389,0.885884,0.0219154,0.632692,0.774398,0.00291389,0.537364,-0.158913,-0.828243,4.19746,-0.497553,-0.210463,-93.1255,262.387,190.023,-135.305,206.9,180.714,-132.205,236.093,162.091,-132.205,236.093,162.091,-130.538,282.091,160.275,-115.985,309.913,160.963,-100.743,316.256,162.693,-134.189,240.326,183.388,-93.5225,294.473,187.235,-61.7069,318.02,186.093,-42.8024,328.119,180.125,-32.5731,332.32,175.201,-126.529,235.523,190.497,-82.4794,281.672,198.701,-47.2901,308.503,195.118,-26.1594,321.92,187.479,-15.5761,327.813,181.97,-118.302,228.745,194.121,-74.1137,264.09,205.665,-40.4235,286.646,198.595,-19.9499,298.473,189.072,-9.63593,303.902,182.802,-109.89,218.761,192.748,-66.7834,246.096,208.638,-40.3375,264.05,202.25,-26.6285,272.717,194.446,-18.1179,277.772,187.269,pick
07.18.42.788178,1.922921,1.974438,1.284649,0.463686,0.885745,0.0212182,0.63219,0.774805,0.00345078,0.537585,-0.158169,-0.828242,3.31805,0.881405,-4.80566,-93.0942,262.387,189.976,-135.226,206.867,180.643,-132.15,236.068,162.03,-132.15,236.068,162.03,-130.456,282.064,160.187,-115.894,309.881,160.853,-100.652,316.225,162.574,-134.138,240.292,183.329,-93.5195,294.473,187.198,-61.713,318.031,186.063,-42.8122,328.13,180.087,-32.5863,332.326,175.152,-126.474,235.493,190.437,-82.4658,281.678,198.661,-47.3002,308.544,195.126,-26.178,321.977,187.494,-15.5996,327.873,181.98,-118.241,228.721,194.06,-74.0854,264.101,205.621,-40.4185,286.7,198.584,-19.9566,298.549,189.066,-9.64984,303.986,182.792,-109.82,218.745,192.686,-66.7396,246.113,208.59,-40.3081,264.088,202.207,-26.6126,272.76,194.386,-18.1144,277.815,187.195,pick
07.18.42.804136,1.923164,1.974931,1.285465,0.462993,0.886106,0.0213005,0.631943,0.775007,0.00338251,0.537668,-0.157717,-0.828275,0.409224,-0.156821,-3.47854,-93.0905,262.385,189.945,-135.203,206.854,180.596,-132.137,236.061,161.989,-132.137,236.061,161.989,-130.448,282.057,160.155,-115.908,309.886,160.824,-100.675,316.251,162.544,-134.127,240.278,183.29,-93.5276,294.473,187.178,-61.7279,318.038,186.031,-42.8318,328.133,180.035,-32.6105,332.323,175.087,-126.46,235.479,190.396,-82.4692,281.677,198.636,-47.3138,308.556,195.114,-26.1972,321.986,187.464,-15.623,327.88,181.941,-118.226,228.709,194.018,-74.0828,264.101,205.591,-40.423,286.706,198.548,-19.9713,298.546,188.998,-9.67305,303.975,182.704,-109.801,218.737,192.642,-66.7308,246.115,208.555,-40.2989,264.085,202.162,-26.613,272.745,194.314,-18.1257,277.792,187.105,pick
07.18.42.818098,1.923821,1.976094,1.287577,0.462937,0.886154,0.0205007,0.632326,0.774698,0.00251973,0.537691,-0.156491,-0.828492,4.43405,2.05714,-2.07948,-93.0415,262.4,189.896,-135.123,206.851,180.513,-132.071,236.072,161.92,-132.071,236.072,161.92,-130.379,282.067,160.061,-115.841,309.896,160.705,-100.608,316.265,162.41,-134.062,240.267,183.224,-93.5051,294.49,187.159,-61.7293,318.085,186.021,-42.844,328.18,179.997,-32.6333,332.355,175.016,-126.39,235.467,190.324,-82.4343,281.691,198.603,-47.3028,308.603,195.128,-26.1982,322.038,187.46,-15.6347,327.924,181.911,-118.15,228.7,193.938,-74.0334,264.115,205.54,-40.3858,286.736,198.504,-19.9511,298.57,188.914,-9.6701,303.983,182.581,-109.718,218.735,192.553,-66.667,246.132,208.488,-40.2313,264.092,202.09,-26.5631,272.735,194.194,-18.1026,277.761,186.94,pick
